"pp" "gender" "hasKids" "userPref" "prediction.before" "prediction.after" "prediction.avg" "role" "userPref01" "prediction.before01" "prediction.after01" "prediction.avg1"
"386" 97 "male" "no" 4.78 9.70644733083045 3.31017926066841 5.80362347552473 "child" 1 1 1 1
"387" 97 "male" "no" 4.89 15.0836326534786 3.19788006370945 5.63104152523183 "child" 1 1 1 1
"388" 97 "male" "no" 4.87 8.57466296753984 -1.47866510686 4.92220519302465 "parent" 1 1 0 1
"389" 98 "male" "no" -5 10.4997016760294 21.5891019341906 -21.8414684684603 "child" 0 1 1 0
"391" 98 "male" "no" 5 9.65381098666302 28.118090969637 24.8053429307724 "parent" 1 1 1 1
"392" 98 "male" "no" 5 -19.4246514100952 -49.9122219631988 -31.71490015773 "child" 1 0 0 0
"393" 99 "female" "no" -1.79 31.8705274612733 32.3609447176057 33.6988651497002 "parent" 0 1 1 1
"394" 99 "female" "no" 2.39 65.2183980323414 47.3827306821647 50.5924875676758 "parent" 1 1 1 1
"396" 99 "female" "no" -2.78 -20.5786505651849 -11.4017043329568 -26.6600375042499 "parent" 0 0 0 0
"397" 100 "female" "no" -4.92 39.8041836109412 43.1405811907101 17.77785255099 "parent" 0 1 1 1
"398" 100 "female" "no" -4.94 108.951624798126 57.9712679728868 6.97166611964124 "child" 0 1 1 1
"399" 100 "female" "no" 4.94 51.9096672363172 55.0196752212316 24.1233200952389 "child" 1 1 1 1
